image,method,kernel_size,lambda_prior,lambda_kernel,iterations,blur_type,motion_len,gaussian_sigma,exec_time_sec,input_sharpness,output_sharpness,psnr,ssim,result_folder
data/test/C081/15.png,shan,31,0.015,0.001,20,motion,40,4.0,3.9648399353027344,0.0001454972370993346,0.0006588867065117571,23.613047009225582,0.6250249297159891,15_shan_20250827-111820
data/test/C081/15.png,shan,35,0.03,0.001,20,motion,30,4.0,4.315835475921631,0.000127958002849482,0.0002914757164341848,23.46261030103973,0.6408616970087314,15_shan_20250827-111744
data/test/C081/15.png,shan,35,0.05,0.001,20,motion,30,4.0,4.287674903869629,0.000127958002849482,0.00023117353446216088,23.436021253783863,0.6435476260409101,15_shan_20250827-111753
data/test/C081/15.png,shan,35,0.02,0.001,20,motion,30,4.0,3.982959508895874,0.000127958002849482,0.0008306631890243193,20.31852857896276,0.47295537371975427,15_shan_20250827-111735
data/test/C081/15.png,shan,35,0.01,0.001,20,motion,30,4.0,3.909602642059326,0.000127958002849482,0.0012364739320513706,19.616750738109477,0.46920168287152264,15_shan_20250827-111715
data/test/C081/15.png,shan,35,0.015,0.001,20,motion,30,4.0,4.348874092102051,0.000127958002849482,0.0010883966585100672,19.298862511634038,0.3906367569644465,15_shan_20250827-111724
data/test/C081/15.png,shan,61,0.015,0.001,20,motion,40,4.0,4.141546964645386,7.637939415872097e-05,0.0006438582101324078,17.763263814331793,0.35676558412039366,15_shan_20250827-111843
data/test/C081/15.png,shan,45,0.015,0.001,20,motion,40,4.0,3.865386486053467,9.786502050701529e-05,0.0008541864109139299,17.757742627987135,0.2800440497128726,15_shan_20250827-111832
data/test/C081/15.png,shan,35,0.015,0.001,20,gaussian,50,5.0,4.005128622055054,1.2214056823722785e-06,0.0003059973506943943,16.964316605357364,0.271958727084372,15_shan_20250827-111853
data/test/C081/15.png,shan,35,0.005,0.001,20,motion,30,4.0,4.047430038452148,0.000127958002849482,0.00277787631656888,16.573669530256762,0.2702348681613582,15_shan_20250827-111705
data/test/C081/15.png,shan,35,0.001,0.001,20,motion,30,4.0,3.5898191928863525,0.000127958002849482,0.01527406383286784,8.365883889903515,0.03249368391646965,15_shan_20250827-111634
